|V|	|E|	time	approx	optimal
10	29	0.03	2837	1882
10	18	0.05	1775	1365
10	22	0.064	3793	2586
10	21	0.035	2567	2001
10	21	0.026	4205	2731
10	20	0.021	5431	3633
10	23	0.031	1914	1691
10	22	0.034	3907	2329
10	26	0.029	3659	2712
10	19	0.022	2904	2223
10	20	0.028	2923	2247
10	23	0.022	2801	2096
10	23	0.021	1292	1292
10	20	0.02	3560	2820
10	21	0.035	4123	2825
10	22	0.025	3600	2343
10	13	0.022	1167	1119
10	27	0.03	4215	3465
10	24	0.021	2685	2685
10	24	0.028	3665	2663
10	19	0.041	3296	2043
10	27	0.036	3383	2588
10	24	0.028	3682	3668
10	24	0.026	3077	3077
10	26	0.029	2191	2098
10	28	0.029	2159	2113
10	18	0.023	3741	1966
10	23	0.027	1925	1925
10	21	0.026	2875	2382
10	20	0.029	4365	2730
10	31	0.025	2998	2998
10	25	0.033	4784	3267
10	24	0.035	4457	2998
10	14	0.025	2370	1892
10	20	0.033	3530	2239
10	27	0.022	4184	2792
10	20	0.034	3589	2823
10	23	0.045	3708	2415
10	21	0.055	4471	3310
10	25	0.021	2460	2223
10	21	0.025	4498	3281
10	20	0.042	4089	3429
10	21	0.044	2516	1475
10	21	0.021	3613	2557
10	23	0.023	4167	3175
10	21	0.019	1081	1081
10	22	0.028	4872	3157
10	26	0.03	3757	2824
10	20	0.026	2504	1703
10	22	0.03	1469	1469
10	20	0.026	1977	1293
10	24	0.034	2615	2279
10	20	0.025	3559	2464
10	27	0.032	4059	2786
10	24	0.027	3850	3150
10	27	0.033	4159	3504
10	21	0.035	2489	2420
10	22	0.035	3538	1973
10	27	0.075	4891	3705
10	21	0.044	6199	4049
10	20	0.033	4749	3240
10	22	0.038	4043	2981
10	16	0.018	4047	2870
10	15	0.032	2833	2090
10	20	0.029	4254	2983
10	29	0.023	4601	4056
10	28	0.026	4323	3412
10	23	0.03	4107	2689
10	19	0.021	2951	1592
10	26	0.022	3933	2967
10	23	0.043	3255	2787
10	23	0.042	4475	2501
10	20	0.026	5279	3408
10	26	0.029	3290	2285
10	20	0.03	3057	2480
10	21	0.066	3751	2169
10	20	0.02	3130	2193
10	25	0.029	6712	5019
10	23	0.028	2116	1993
10	23	0.026	2559	2333
10	20	0.02	3494	2370
10	21	0.026	3269	3168
10	24	0.028	5576	3614
10	16	0.023	2545	2545
10	20	0.024	2289	1650
10	23	0.028	1841	1515
10	29	0.023	5102	4158
10	24	0.033	5459	3755
10	18	0.027	2207	1737
10	20	0.031	3878	2584
10	28	0.029	2373	2373
10	31	0.043	2142	2142
10	21	0.03	3442	2555
10	19	0.024	2405	1603
10	24	0.037	5072	3543
10	19	0.021	2910	2161
10	18	0.028	5810	3402
10	21	0.026	2823	1770
10	25	0.027	4314	3361
10	24	0.036	3000	2567
10	24	0.028	3624	2416
10	20	0.039	2863	2149
10	22	0.02	2577	2235
10	20	0.024	3394	2219
10	20	0.02	3912	2760
10	21	0.028	1717	1106
10	23	0.054	4874	3361
10	26	0.044	5876	4163
10	20	0.027	4285	2871
10	20	0.021	4825	3706
10	24	0.027	4743	3175
10	23	0.027	3874	3468
10	23	0.03	3740	2426
10	17	0.031	2571	1634
10	22	0.025	3303	2991
10	27	0.059	3019	2621
