|V|	|E|	time	approx	optimal
7	14	0.01	3545	0.567	2494
7	9	0.008	1794	0.41	1794
7	13	0.011	1774	0.541	1774
7	11	0.009	2143	0.522	2014
7	8	0.01	2054	0.422	1610
7	11	0.012	2594	0.47	1902
7	9	0.008	2676	0.407	1987
7	11	0.008	1249	0.473	1249
7	9	0.009	2025	0.403	1174
7	11	0.009	3008	0.466	1572
7	9	0.007	1239	0.408	1239
7	10	0.01	1800	0.439	1075
7	13	0.009	1234	0.529	1234
7	9	0.008	2827	0.409	1955
7	13	0.012	3002	0.527	2272
7	9	0.008	2369	0.395	1866
7	9	0.008	1443	0.4	1129
7	10	0.009	1091	0.43	857
7	9	0.008	754	0.443	754
7	7	0.009	1228	0.357	743
7	11	0.017	3032	0.468	2205
7	12	0.011	1043	0.497	794
7	10	0.009	2260	0.434	2169
7	9	0.007	849	0.439	849
7	11	0.011	1796	0.468	1272
7	7	0.007	1013	0.335	551
7	12	0.008	2322	0.496	1815
7	11	0.009	3843	0.492	3151
7	15	0.012	328	0.589	328
7	8	0.008	2009	0.377	1558
7	14	0.011	2162	0.56	1896
7	7	0.008	1340	0.336	1117
7	7	0.006	838	0.33	838
7	10	0.008	1421	0.437	1088
7	8	0.008	3301	0.37	1983
7	11	0.009	2591	0.476	1354
7	13	0.011	1873	0.539	1535
7	12	0.011	2073	0.505	1989
7	14	0.012	1936	0.564	1352
7	10	0.011	3789	0.466	2947
7	10	0.015	1324	0.469	1156
7	10	0.01	877	0.429	877
7	8	0.007	1549	0.377	1549
7	9	0.013	445	0.491	337
7	16	0.014	3619	0.643	2625
7	11	0.013	3867	0.471	3075
7	12	0.009	1860	0.491	1486
7	15	0.012	1337	0.592	1182
7	12	0.01	2481	0.524	1985
7	13	0.015	1884	0.749	1380
7	9	0.013	813	0.421	813
7	12	0.011	609	0.497	609
7	8	0.007	1919	0.365	1583
7	12	0.01	2297	0.493	1389
7	13	0.01	2327	0.527	2055
7	8	0.008	1588	0.393	963
7	11	0.018	2015	0.673	1228
7	13	0.019	3719	0.759	2807
7	12	0.018	2335	0.721	2070
7	10	0.014	2743	0.629	1962
7	9	0.015	2999	0.591	2415
7	11	0.015	916	0.678	916
7	13	0.017	1503	0.778	1502
7	12	0.018	2639	0.728	1645
7	11	0.015	1129	0.677	1129
7	10	0.014	2386	0.63	2340
7	11	0.014	2215	0.672	2087
7	12	0.014	2161	0.721	1444
7	9	0.013	807	0.48	807
7	7	0.01	2160	0.337	2068
7	9	0.01	3316	0.406	1955
7	11	0.009	992	0.461	992
7	8	0.007	1941	0.366	1941
7	8	0.007	1296	0.367	991
7	11	0.008	1734	0.464	886
7	8	0.008	2778	0.385	2058
7	10	0.009	2443	0.431	1794
7	6	0.007	3463	0.297	2505
7	10	0.01	3403	0.435	1928
7	11	0.009	2722	0.463	2013
7	10	0.008	1831	0.439	1831
7	8	0.007	379	0.366	379
7	13	0.015	2612	0.729	1309
7	8	0.014	1526	0.435	1168
7	12	0.012	1003	0.523	1003
7	9	0.01	1101	0.459	1071
7	10	0.011	1427	0.437	1427
7	8	0.007	1018	0.361	1018
7	7	0.008	2490	0.341	1734
7	7	0.007	1924	0.337	1890
7	12	0.008	1114	0.501	860
7	14	0.013	1679	0.561	1220
7	11	0.02	2589	0.459	2362
7	13	0.014	2758	0.539	2421
7	13	0.012	2043	0.573	1881
7	10	0.011	2617	0.438	2359
7	9	0.007	2563	0.401	2178
7	11	0.008	1714	0.46	1234
7	8	0.016	1151	0.387	941
7	13	0.013	3193	0.56	2210
7	9	0.01	2217	0.391	2217
7	13	0.01	2139	0.529	1493
7	13	0.01	1551	0.533	1265
7	10	0.009	2472	0.441	1773
7	13	0.01	2029	0.537	1617
7	12	0.009	2703	0.499	1858
7	6	0.007	1726	0.293	948
7	10	0.009	1820	0.445	985
7	8	0.009	2587	0.372	1767
7	6	0.006	1442	0.299	1421
7	10	0.009	2890	0.434	2013
7	16	0.012	2741	0.615	1908
7	11	0.009	2026	0.467	1238
7	10	0.008	693	0.43	693
7	9	0.008	1467	0.461	1047
7	11	0.018	3892	0.678	2150
7	10	0.015	2419	0.632	2419
7	7	0.014	3054	0.496	1973
7	14	0.018	2299	0.813	1594
7	11	0.015	2407	0.688	1581
7	10	0.015	417	0.641	417
7	10	0.016	2320	0.635	2320
7	8	0.013	2364	0.542	1429
7	5	0.011	2426	0.4	1613
7	8	0.014	923	0.541	923
7	12	0.017	2003	0.718	1368
7	10	0.015	2067	0.632	1868
7	8	0.015	1695	0.549	1292
7	12	0.015	2076	0.674	2076
7	12	0.014	4192	0.501	2534
7	11	0.01	2215	0.462	1345
7	9	0.009	2617	0.406	1674
7	10	0.009	1107	0.432	1017
7	5	0.005	571	0.303	571
7	9	0.012	3232	0.418	2391
7	15	0.012	2222	0.639	1275
7	10	0.012	1367	0.458	1321
7	12	0.012	1880	0.503	1504
7	13	0.011	2511	0.531	2004
7	12	0.009	1808	0.497	1362
7	10	0.008	1433	0.424	959
7	8	0.007	2080	0.364	1314
7	14	0.01	1204	0.569	1204
7	10	0.01	1063	0.441	792
7	10	0.009	3400	0.439	1971
7	11	0.01	250	0.47	250
7	11	0.009	2977	0.468	2180
7	12	0.009	2775	0.55	1746
7	15	0.015	3646	0.587	2040
7	9	0.009	3794	0.405	1938
7	15	0.011	2690	0.593	2206
7	11	0.008	3132	0.474	2488
7	13	0.011	2666	0.537	1806
7	10	0.009	3529	0.529	1942
7	12	0.016	2799	0.649	2103
7	9	0.011	300	0.399	300
7	9	0.008	1124	0.431	1124
7	12	0.012	785	0.514	779
7	11	0.01	1485	0.469	1406
7	15	0.011	2894	0.591	2223
7	11	0.009	2914	0.467	1859
7	11	0.008	186	0.465	186
7	12	0.01	591	0.538	591
7	10	0.018	3215	0.495	2220
7	8	0.011	1532	0.371	1111
7	12	0.01	2410	0.535	1615
7	8	0.009	1470	0.366	1380
7	9	0.008	2323	0.405	1694
7	11	0.009	2276	0.572	1660
7	7	0.014	2049	0.46	1676
7	8	0.016	2683	0.502	1690
7	15	0.014	2142	0.754	1606
7	10	0.016	2043	0.567	1662
7	7	0.013	578	0.446	578
7	8	0.016	1823	0.394	1099
7	8	0.011	1976	0.374	1541
7	13	0.01	1623	0.527	1623
7	10	0.009	1873	0.441	1758
7	11	0.013	2739	0.502	2159
7	9	0.011	1320	0.409	1320
7	11	0.011	3331	0.5	2638
7	7	0.013	1210	0.355	949
7	11	0.018	2924	0.539	1820
7	9	0.016	2514	0.455	1646
7	14	0.022	2518	0.659	2518
7	7	0.014	2175	0.371	1483
7	9	0.01	903	0.42	903
7	11	0.01	2080	0.461	1410
7	12	0.009	2207	0.51	2057
