|V|	|E|	time	approx
100	2424	0.811	46366
100	2476	1.05	52408
100	2386	0.869	50673
100	2491	1.22	45203
100	2471	0.984	48805
100	2458	0.851	47232
100	2532	1.12	48200
100	2557	0.982	51001
100	2534	1	50744
100	2465	0.855	46342
100	2459	0.881	47649
100	2441	0.947	46359
100	2472	1.02	48971
100	2455	1.01	49252
100	2447	0.925	45124
100	2473	1.11	45953
100	2487	0.829	51370
100	2473	0.899	47423
100	2423	1.04	46073
100	2530	1.16	51770
100	2485	1.32	49141
100	2453	0.892	45878
100	2483	0.969	50788
100	2441	1.18	52477
100	2463	1.15	44063
100	2495	0.996	48379
100	2414	0.891	51358
100	2460	1.15	53239
100	2403	0.785	49833
100	2476	1.02	48921
100	2513	0.939	45177
100	2461	0.812	46276
100	2431	0.915	51427
100	2434	1.14	51635
100	2466	1.04	44847
100	2532	0.905	45527
100	2451	0.925	45045
100	2505	0.83	54096
100	2411	0.92	49500
100	2424	0.852	51339
100	2470	1.06	42444
100	2426	0.792	53545
100	2515	0.984	48179
100	2463	0.79	46279
100	2516	0.985	49792
100	2475	1.25	53370
100	2441	1.06	52510
100	2482	1.01	45576
100	2558	1.09	48729
100	2410	0.782	46165
100	2529	1.1	52655
100	2495	1.1	47392
100	2449	1.09	50968
100	2446	1.04	48382
100	2491	0.845	49963
100	2411	0.905	49034
100	2411	0.769	47250
100	2489	1.05	51531
100	2495	1	48111
100	2473	0.905	50169
100	2491	0.921	49859
100	2462	0.833	43054
100	2380	0.718	50982
100	2464	1.23	49905
100	2455	0.934	55015
100	2496	1.07	52958
100	2511	0.926	50581
100	2492	1.07	51655
100	2483	1.04	52141
100	2389	0.745	44849
100	2471	1.16	45476
100	2434	1.15	47813
100	2456	0.782	50790
100	2475	1.17	48219
100	2526	1.3	47142
100	2491	0.812	42782
100	2431	1.11	50340
100	2458	1.24	49034
100	2470	0.866	51470
100	2498	0.971	49383
100	2458	0.851	45178
100	2491	1.3	45844
100	2482	0.788	48541
100	2460	0.967	43768
100	2406	1.05	55224
100	2458	1.06	49440
100	2529	1.32	47002
100	2487	1.01	50379
100	2487	1.04	46898
100	2527	1.17	47159
100	2470	1.16	51160
100	2527	1.24	47473
100	2511	0.84	49978
100	2465	1.3	46366
100	2438	0.956	49565
100	2443	0.912	47278
100	2478	1.28	53527
100	2487	1.01	51440
100	2464	0.882	50075
100	2477	0.899	49993
100	2487	1.1	49124
100	2440	0.949	52713
100	2465	1.21	51399
100	2452	0.894	49270
100	2462	1.01	48106
100	2458	0.928	49515
100	2485	1.07	48404
100	2494	1.19	49177
100	2433	0.997	53686
100	2533	0.996	50686
100	2514	0.89	44059
100	2474	0.855	42663
100	2492	1.08	55705
100	2534	1.05	52420
100	2427	1.2	50215
100	2440	0.893	47126
100	2509	1.37	56008
100	2517	1.05	44846
100	2513	0.963	44351
100	2517	1.23	51070
