|V|	|E|	time	approx	optimal
7	9	0.003	445	337
7	16	0.005	3619	2625
7	11	0.004	3867	3075
7	12	0.004	1860	1486
7	15	0.005	1337	1182
7	12	0.004	2481	1985
7	13	0.004	1884	1380
7	9	0.003	813	813
7	12	0.004	609	609
7	8	0.003	1919	1583
7	12	0.004	2297	1389
7	13	0.004	2327	2055
7	8	0.003	1588	963
7	11	0.004	2015	1228
7	13	0.004	3719	2807
7	12	0.004	2335	2070
7	10	0.003	2743	1962
7	9	0.004	2999	2415
7	11	0.004	916	916
7	13	0.004	1503	1502
7	12	0.004	2639	1645
7	11	0.004	1129	1129
7	10	0.004	2386	2340
7	11	0.004	2215	2087
7	12	0.004	2161	1444
7	9	0.003	807	807
7	7	0.003	2160	2068
7	9	0.004	3316	1955
7	11	0.004	992	992
7	8	0.004	1941	1941
7	8	0.003	1296	991
7	11	0.004	1734	886
7	8	0.003	2778	2058
7	10	0.004	2443	1794
7	6	0.003	3463	2505
7	10	0.004	3403	1928
7	11	0.004	2722	2013
7	10	0.003	1831	1831
7	8	0.003	379	379
7	13	0.005	2612	1309
7	8	0.003	1526	1168
7	12	0.004	1003	1003
7	9	0.004	1101	1071
7	10	0.004	1427	1427
7	8	0.003	1018	1018
7	7	0.004	2490	1734
7	7	0.003	1924	1890
7	12	0.004	1114	860
7	14	0.004	1679	1220
7	11	0.004	2589	2362
7	13	0.004	2758	2421
7	13	0.004	2043	1881
7	10	0.004	2617	2359
7	9	0.003	2563	2178
7	11	0.004	1714	1234
7	8	0.003	1151	941
7	13	0.004	3193	2210
7	9	0.003	2217	2217
7	13	0.004	2139	1493
7	13	0.004	1551	1265
7	10	0.004	2472	1773
7	13	0.004	2029	1617
7	12	0.004	2703	1858
7	6	0.003	1726	948
7	10	0.004	1820	985
7	8	0.004	2587	1767
7	6	0.003	1442	1421
7	10	0.004	2890	2013
7	16	0.005	2741	1908
7	11	0.004	2026	1238
7	10	0.004	693	693
7	9	0.003	1467	1047
7	11	0.004	3892	2150
7	10	0.003	2419	2419
7	7	0.003	3054	1973
7	14	0.005	2299	1594
7	11	0.004	2407	1581
7	10	0.004	417	417
7	10	0.004	2320	2320
7	8	0.003	2364	1429
7	5	0.003	2426	1613
7	8	0.003	923	923
7	12	0.004	2003	1368
7	10	0.004	2067	1868
7	8	0.004	1695	1292
7	12	0.004	2076	2076
7	12	0.004	4192	2534
7	11	0.004	2215	1345
7	9	0.004	2617	1674
7	10	0.004	1107	1017
7	5	0.002	571	571
7	9	0.004	3232	2391
7	15	0.005	2222	1275
7	10	0.004	1367	1321
7	12	0.004	1880	1504
7	13	0.004	2511	2004
7	12	0.004	1808	1362
7	10	0.003	1433	959
7	8	0.003	2080	1314
7	14	0.005	1204	1204
7	10	0.004	1063	792
7	10	0.004	3400	1971
7	11	0.006	250	250
7	11	0.004	2977	2180
7	12	0.004	2775	1746
7	15	0.007	3646	2040
7	9	0.004	3794	1938
7	15	0.005	2690	2206
7	11	0.004	3132	2488
7	13	0.005	2666	1806
7	10	0.004	3529	1942
7	12	0.004	2799	2103
7	9	0.004	300	300
7	9	0.003	1124	1124
7	12	0.004	785	779
7	11	0.004	1485	1406
7	15	0.005	2894	2223
7	11	0.004	2914	1859
7	11	0.007	186	186
7	12	0.005	591	591
7	10	0.004	3215	2220
7	8	0.003	1532	1111
7	12	0.005	2410	1615
7	8	0.004	1470	1380
7	9	0.004	2323	1694
7	11	0.004	2276	1660
7	7	0.003	2049	1676
7	8	0.004	2683	1690
7	15	0.008	2142	1606
7	10	0.005	2043	1662
7	7	0.004	578	578
7	8	0.022	1823	1099
7	8	0.004	1976	1541
7	13	0.005	1623	1623
7	10	0.004	1873	1758
7	11	0.004	2739	2159
7	9	0.004	1320	1320
7	11	0.004	3331	2638
7	7	0.003	1210	949
7	11	0.004	2924	1820
7	9	0.004	2514	1646
7	14	0.005	2518	2518
7	7	0.003	2175	1483
7	9	0.003	903	903
7	11	0.004	2080	1410
7	12	0.004	2207	2057
7	12	0.004	2171	1954
7	10	0.004	2875	1535
7	11	0.004	3091	2194
7	15	0.004	2346	2346
7	10	0.004	2544	1866
7	5	0.003	2148	1949
7	6	0.003	2480	1394
7	12	0.004	1765	1765
7	8	0.003	1578	1578
7	9	0.003	2711	2106
7	11	0.004	2649	1584
7	12	0.004	2054	1631
7	12	0.004	1505	1505
7	10	0.004	554	554
7	8	0.004	1940	1447
7	16	0.005	2943	2076
7	12	0.004	1207	1207
7	9	0.003	2806	2542
7	12	0.004	3523	2899
7	10	0.004	1814	1171
7	7	0.003	1430	1149
7	11	0.004	2012	1617
7	12	0.004	2231	1537
7	10	0.004	3247	1657
7	11	0.004	2541	1492
7	7	0.003	820	820
7	13	0.005	1487	1163
7	9	0.003	2118	1871
7	14	0.005	2318	1386
7	11	0.004	4032	2752
7	9	0.003	1551	1551
7	12	0.004	1308	1225
7	11	0.004	912	912
7	15	0.004	1701	1039
7	4	0.002	1223	720
7	11	0.004	2501	1508
7	15	0.005	3023	2422
7	10	0.005	2880	1971
7	13	0.004	2763	2517
7	12	0.005	2021	1257
7	6	0.003	447	447
7	5	0.003	2255	1748
7	10	0.004	1733	1280
7	13	0.004	1959	1637
7	10	0.004	1122	986
7	12	0.004	1181	1145
7	10	0.003	1787	1787
7	11	0.004	1682	1383
7	7	0.003	1405	1405
7	13	0.004	2300	2002
7	14	0.005	2942	2245
7	10	0.003	1787	1564
7	9	0.003	653	653
7	12	0.004	2942	2243
7	10	0.003	595	595
7	15	0.005	3140	2314
7	7	0.003	2226	2153
7	12	0.005	2827	1661
7	9	0.004	1351	1135
7	8	0.003	1370	1132
7	8	0.003	913	667
7	8	0.003	1805	1272
7	8	0.004	1253	672
7	7	0.003	2769	2243
7	12	0.004	3119	2200
7	7	0.003	2020	1167
7	13	0.004	1420	1420
7	10	0.004	2541	1801
7	9	0.003	1493	809
7	9	0.003	1681	1536
7	13	0.004	2554	2554
7	14	0.005	3057	2288
7	8	0.003	2411	2411
7	12	0.004	2914	2434
7	13	0.004	3619	2656
7	7	0.003	1849	1202
7	12	0.004	3938	3089
7	9	0.004	3030	1913
7	12	0.004	3333	2306
7	13	0.004	2651	1769
7	11	0.004	2963	1936
7	14	0.005	2751	1835
7	5	0.003	1324	1038
7	12	0.004	1112	1112
7	12	0.004	2165	1542
7	9	0.003	864	737
7	10	0.004	1905	1767
7	12	0.004	3046	2476
7	13	0.004	4333	2775
7	10	0.004	1498	1498
7	12	0.004	3224	2353
7	7	0.003	1467	1052
7	11	0.004	2309	1558
7	4	0.002	434	434
7	11	0.004	2379	1499
7	7	0.003	1252	1154
7	13	0.004	1834	1293
7	10	0.004	1140	1010
7	11	0.004	3125	1660
7	13	0.005	1781	1543
7	11	0.004	2973	2403
7	14	0.005	2567	1662
7	11	0.004	1674	1105
7	8	0.003	1423	1423
7	8	0.004	2128	1288
7	10	0.004	1820	1097
7	4	0.002	796	796
7	10	0.004	1517	1166
7	6	0.003	687	378
7	15	0.005	2471	2147
7	8	0.004	1917	1191
7	6	0.003	1650	1045
7	13	0.004	2071	2071
7	13	0.004	2440	1875
7	9	0.003	1207	1207
7	9	0.004	2035	1170
7	8	0.003	3053	1893
7	11	0.004	1713	1713
7	8	0.003	1804	1693
7	11	0.004	3323	2383
7	9	0.003	1725	976
7	6	0.003	1332	1328
7	11	0.004	3325	1789
7	9	0.004	1261	1057
7	16	0.005	1759	1208
7	9	0.003	1119	1119
7	11	0.004	1244	1244
7	8	0.003	1452	1015
7	12	0.004	2076	1604
7	12	0.004	1813	1749
7	10	0.004	1967	1967
7	9	0.003	1215	762
7	10	0.004	3103	1933
7	10	0.004	1322	907
7	11	0.004	2452	2389
7	9	0.003	1740	1728
7	12	0.004	3225	2532
7	8	0.004	1709	1478
7	11	0.004	1679	1157
7	13	0.004	1424	1424
7	11	0.004	1501	1468
7	13	0.004	3382	2173
7	11	0.004	3249	2696
7	8	0.003	1840	1064
7	11	0.004	1449	1380
7	13	0.005	2211	1586
7	6	0.003	1355	982
7	12	0.004	2533	2009
7	8	0.004	2123	1180
7	12	0.004	2071	1484
7	11	0.004	1682	1132
7	4	0.002	397	397
7	11	0.004	1074	1074
7	12	0.004	2850	2179
7	10	0.004	3227	1945
7	9	0.004	1752	1008
7	9	0.004	2263	1316
7	10	0.004	1643	1368
7	11	0.004	2523	2092
7	10	0.004	2121	1763
7	7	0.003	459	459
7	13	0.004	1736	1726
7	7	0.003	2163	1315
7	13	0.004	1773	1455
7	8	0.003	1805	1610
7	12	0.004	2428	2002
7	14	0.004	2995	2167
7	14	0.004	3342	2656
7	11	0.004	1983	1618
7	9	0.004	2862	1953
7	13	0.004	2727	2310
7	8	0.004	2560	1555
7	8	0.004	1738	994
7	12	0.004	3454	3002
7	8	0.003	1130	1130
7	13	0.004	3175	2095
7	11	0.004	1923	1473
7	10	0.003	2515	2515
7	9	0.003	1783	1645
7	10	0.004	2306	1635
7	11	0.004	1206	1206
7	10	0.004	1831	1349
7	12	0.004	2348	2210
7	7	0.003	1639	1639
7	10	0.004	2289	2081
7	9	0.004	2604	2112
7	14	0.005	1104	773
7	9	0.003	177	177
7	10	0.004	1522	1522
7	9	0.003	1476	1117
7	11	0.004	1140	1128
7	11	0.004	3104	1613
7	8	0.003	1497	957
7	10	0.003	1881	1881
7	5	0.003	2852	1644
7	8	0.003	2954	2452
7	11	0.004	2342	1506
7	7	0.003	980	539
7	9	0.004	2992	2012
7	9	0.004	1896	1272
7	10	0.004	2062	1483
7	11	0.004	2529	1456
7	11	0.004	1921	1602
7	15	0.005	2293	1533
7	9	0.004	3079	2622
7	11	0.004	1817	1817
7	8	0.003	1261	1261
7	13	0.004	3200	2397
7	9	0.004	2664	1992
7	12	0.004	2595	1768
7	11	0.003	557	464
7	5	0.003	1113	1113
7	7	0.003	416	416
7	8	0.003	1252	960
7	10	0.004	2166	1982
7	7	0.003	729	729
7	11	0.004	1032	1026
7	12	0.005	3477	2627
7	11	0.004	3222	2362
7	7	0.003	2330	1658
7	10	0.004	2906	1770
7	12	0.004	2246	2246
7	10	0.003	1016	1016
7	13	0.004	2924	2381
7	11	0.004	1429	957
7	12	0.004	2336	1291
7	12	0.004	2038	1040
7	9	0.003	2375	2086
7	11	0.004	2409	1708
7	9	0.004	1575	1575
7	11	0.004	3130	1883
7	12	0.004	1742	1742
7	12	0.004	986	602
7	9	0.004	1275	1275
7	7	0.004	2733	1520
7	9	0.004	1501	1030
7	7	0.003	1061	906
7	11	0.004	3793	2208
7	15	0.005	954	954
7	10	0.004	2002	1236
7	8	0.004	3351	2106
7	10	0.004	1351	1004
7	9	0.004	2427	1872
7	7	0.003	1026	1026
7	9	0.004	3252	2605
7	13	0.004	2496	1713
7	10	0.004	2691	1859
7	9	0.003	964	964
7	12	0.004	1776	1771
7	13	0.004	2547	2334
7	11	0.004	3100	2134
7	11	0.004	2223	1942
7	10	0.004	765	765
7	7	0.003	2890	1937
7	12	0.004	2268	1774
7	9	0.003	1560	1392
7	8	0.003	2705	1924
7	11	0.004	1927	1428
7	12	0.005	2894	1934
7	8	0.003	1420	1420
7	13	0.004	2467	2010
7	13	0.004	2578	2064
7	13	0.004	3584	2335
7	8	0.003	800	800
7	13	0.004	1901	1901
7	13	0.004	2325	1342
7	9	0.003	870	606
7	13	0.004	1773	1773
7	9	0.003	874	874
7	11	0.004	3117	2360
7	11	0.004	3155	1883
7	13	0.004	104	104
7	9	0.004	3331	2414
7	11	0.004	2200	1519
7	13	0.004	1062	752
7	10	0.003	818	818
7	16	0.005	2642	1824
7	7	0.003	2377	1884
7	12	0.004	3692	2884
7	9	0.004	2301	1455
7	12	0.004	2453	2006
7	10	0.003	951	951
7	8	0.003	537	537
7	11	0.004	1061	1061
7	9	0.003	1895	1413
7	10	0.004	2202	1406
7	8	0.004	1547	1298
7	9	0.004	1194	1156
7	12	0.005	3137	2319
7	11	0.004	2396	1470
7	9	0.004	2325	2068
7	6	0.003	1260	1260
7	9	0.003	2273	2273
7	11	0.004	1391	1391
7	12	0.004	2762	2057
7	12	0.004	2500	1539
7	10	0.004	2806	1815
7	8	0.003	843	843
7	10	0.004	1330	827
7	9	0.004	2670	1750
7	9	0.004	2626	1739
7	10	0.003	1694	1694
7	12	0.005	3274	2089
7	9	0.004	1709	1296
7	15	0.005	2727	1837
7	14	0.005	1798	1272
7	7	0.003	1269	1269
7	12	0.005	2420	2100
7	13	0.005	647	647
7	13	0.004	1277	1277
7	12	0.004	3252	1997
7	4	0.002	715	358
7	10	0.004	3058	2121
7	12	0.004	1689	1505
7	6	0.003	1976	1371
7	6	0.003	2676	2220
7	13	0.004	1561	1561
7	11	0.004	1198	761
7	11	0.004	2459	2420
7	8	0.003	1907	1310
7	10	0.006	2950	2032
7	11	0.004	1857	1811
7	10	0.004	1244	1244
7	8	0.003	2358	1441
7	11	0.004	586	586
7	14	0.004	1687	1463
7	6	0.003	1849	1158
7	10	0.004	2186	1128
7	12	0.004	1322	1322
7	10	0.004	1875	1256
7	10	0.004	3082	2431
7	13	0.004	1861	1349
7	15	0.005	3552	2883
7	11	0.004	3516	2398
7	11	0.004	2595	2029
7	9	0.003	2136	1255
7	10	0.003	870	870
7	10	0.004	3115	2278
7	7	0.003	1331	1058
7	11	0.004	2117	1972
7	10	0.004	1738	1195
7	11	0.004	2561	1338
7	12	0.004	3038	2511
7	10	0.004	3571	2002
7	12	0.004	2204	1987
7	9	0.003	860	734
7	10	0.003	1437	1437
7	9	0.004	1889	1389
7	11	0.004	2020	1823
7	11	0.004	2399	1579
7	11	0.004	2106	1944
7	11	0.004	2279	1450
7	8	0.003	1438	1438
7	10	0.003	1733	1733
7	12	0.004	3460	2062
7	11	0.004	2669	1674
7	6	0.003	1686	1686
7	5	0.003	2073	1645
7	13	0.004	1689	1689
7	8	0.004	2552	1644
7	6	0.002	381	381
7	11	0.004	2380	1541
7	10	0.004	1103	1103
7	7	0.003	2749	1640
7	11	0.004	1512	1196
7	10	0.004	2115	1461
7	12	0.005	2049	1731
7	9	0.003	494	494
7	10	0.004	1562	1373
7	10	0.004	2491	1972
7	7	0.003	2028	1546
7	11	0.004	3067	1778
7	12	0.006	1460	1173
7	9	0.004	1949	1045
7	10	0.004	2095	1673
7	10	0.004	1519	1519
7	15	0.005	2651	1950
7	7	0.003	3438	2361
7	12	0.004	3026	2003
7	12	0.004	1720	1521
7	11	0.004	2059	2054
7	11	0.004	2174	1751
7	10	0.004	3242	2255
7	6	0.003	1816	1687
7	11	0.004	1658	1338
7	9	0.003	1907	1346
7	6	0.003	1714	1016
7	9	0.003	1810	1769
7	12	0.004	2842	1839
7	11	0.004	1902	1902
7	13	0.004	1274	1274
7	11	0.004	1527	863
7	13	0.005	1354	1166
7	13	0.004	3807	2383
7	10	0.004	2893	2497
7	9	0.003	451	451
7	8	0.003	1050	1050
7	11	0.004	2688	1542
7	11	0.003	1162	1162
7	10	0.004	2566	1722
7	12	0.004	2375	1254
7	9	0.006	1697	1344
7	10	0.006	2581	1739
7	9	0.004	2173	1640
7	11	0.004	3014	2577
7	9	0.003	959	922
7	11	0.004	2442	1599
7	13	0.004	2328	1915
7	14	0.005	3105	1999
7	12	0.005	1064	647
7	7	0.003	1616	1288
7	11	0.004	1511	1511
7	12	0.005	2253	1697
7	8	0.003	381	355
7	11	0.004	3665	2325
7	11	0.004	1835	1390
7	8	0.004	2370	1732
7	15	0.005	3321	1699
7	10	0.003	2613	2038
7	13	0.007	2159	1834
7	4	0.004	653	653
7	12	0.007	2039	1309
7	12	0.007	1453	1206
7	11	0.008	2893	1613
7	12	0.006	3014	2733
7	12	0.006	2466	2273
7	9	0.005	996	996
7	10	0.004	3011	1991
7	13	0.005	3597	2647
7	13	0.004	2071	1315
7	12	0.004	3168	1618
7	7	0.003	1234	1234
7	7	0.003	2928	1751
7	11	0.004	2346	2283
7	13	0.004	3770	2443
